Time,bit-x,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,kraken
2022-11-04 00:00:00 UTC,57.1428571428571,0.00618586940337965,0.0100165703256646,0.0243539256625975,0.00636211764746551,0.106012408781961,0.0204488079991019,0.00294693054688585
2022-11-05 00:00:00 UTC,57.1428571428571,0.005383556558286,0.0127843388360387,0.0175406881007032,0.00512553336843048,0.122544243641042,0.01618766291705,0.00311535065867894
2022-11-06 00:00:00 UTC,57.1428571428571,0.00557110111557319,0.0125900844135203,0.0174658817279795,0.00448506470337196,0.106572587426804,0.0160058593691205,0.00237200395523065
2022-11-07 00:00:00 UTC,57.1428571428571,0.00555470942382972,0.0130655149255096,0.0177593144934553,0.00464431951734167,0.140165974907162,0.0215593451528764,0.00291350073548268
2022-11-08 00:00:00 UTC,57.1428571428571,0.0108685349670598,0.0330751597253238,0.0421872458296019,0.014608879720255,0.28672509578571,0.0412426582691667,0.0137632754881299
2022-11-09 00:00:00 UTC,57.1428571428571,0.0157231637532512,0.0692663317206451,0.0483087433488419,0.0187310908476599,0.772750260819254,0.0755445270215166,0.0178078970080176
2022-11-10 00:00:00 UTC,57.1428571428571,0.0237311198268789,0.0770613715539288,0.0512159114773476,0.0229893575274127,1.24781003319751,0.0834429232250381,0.0205815345473546
2022-11-11 00:00:00 UTC,57.1428571428571,0.0184975558913104,0.0547169724908776,0.0374150163407448,0.0183267227060276,0.354327482061398,0.0775474745414473,0.0220541131360196
2022-11-12 00:00:00 UTC,57.1428571428571,0.0115731487577763,0.0278063629270372,0.0233759909345083,0.0160653438735256,0.220941438036836,0.0760341541991838,0.0108502014584048
2022-11-13 00:00:00 UTC,57.1428571428571,0.00983487544740812,0.0253821168521624,0.0232764181345122,0.0138947922940277,0.189907654534023,0.0566904863498138,0.00709950932351492
2022-11-14 00:00:00 UTC,57.1428571428571,0.0126497607180315,0.0362538384828205,0.0295144268222768,0.0182332134546173,0.301763848013937,0.0906412102815014,0.0159765356906825
2022-11-15 00:00:00 UTC,57.1428571428571,0.00905943987943186,0.0227336530305334,0.0226987836016954,0.0130260730982565,0.162285143514009,0.074344519949201,0.006489900884111
2022-11-16 00:00:00 UTC,57.1428571428571,0.00896751555716927,0.0160662695489524,0.0216534031694833,0.0113695265303453,0.127340607298945,0.0876684915443781,0.00491601833127747
2022-11-17 00:00:00 UTC,57.1428571428571,0.00789551461520924,0.0160400922578018,0.0241348527230826,0.0107714478116302,0.117138388283357,0.0731009331005801,0.00440965622304686
2022-11-18 00:00:00 UTC,57.1428571428571,0.00787879651336005,0.0143739697578329,0.0220911523943875,0.00899335938707553,0.134986065390578,0.0863340481668808,0.00353565933330835
2022-11-19 00:00:00 UTC,57.1428571428571,0.00638292607862846,0.00857043011773967,0.0157367217576369,0.00963512743654494,0.11133837327247,0.0765690589579723,0.00213528608633876
2022-11-20 00:00:00 UTC,57.1428571428571,0.007025827058188,0.0126072976584871,0.0184842293613945,,0.101665333530844,0.0665773586084359,0.00405481331890467
2022-11-21 00:00:00 UTC,57.1428571428571,0.00958398241837275,0.0213823271476909,0.025517611925309,0.013019512440072,0.187038390334488,0.0959564259387513,0.00692533831802182
2022-11-22 00:00:00 UTC,57.1428571428571,0.0100680527187814,0.0235426425553453,0.0248408492277042,0.011918901458426,0.0847525717260146,0.08898267563708,0.0051792568365128
2022-11-23 00:00:00 UTC,57.1428571428571,0.00819603614461026,0.0236491346363528,0.0245230377199176,0.0110221005698256,0.132348044743264,0.0694185582647311,0.00455268755694015
2022-11-24 00:00:00 UTC,57.1428571428571,0.00737017983719483,0.00975079732728664,0.018174099611207,0.00841013312187206,0.07890002450317,0.0700912103738648,0.00246611008297845
2022-11-25 00:00:00 UTC,57.1428571428571,0.00692529519329991,0.00761166535194942,0.0182448473075484,0.00785727508036583,0.123599173015358,0.0755495189975741,0.00152760263603283
2022-11-26 00:00:00 UTC,57.1428571428571,0.00689439934867792,0.00685829973765114,0.0158184494376103,0.00803461211351066,0.0843501423149679,0.0425462571807946,0.0016346526948965
2022-11-27 00:00:00 UTC,57.1428571428571,0.00680178416373444,0.00738897693826534,0.015447246066508,0.00772157261674063,0.1140100198828,0.0429685019354052,0.00141074399763172
2022-11-28 00:00:00 UTC,57.1428571428571,0.0102178370685714,0.00978845830897656,0.0202337263172833,0.0085149415687965,0.206074054202937,0.0547544763893374,0.00362178820157739
2022-11-29 00:00:00 UTC,57.1428571428571,0.00787038852684196,0.00786388385277155,0.0163939213689084,0.00725832949215641,0.118853357992288,0.0618167374185846,0.00230904258439853
2022-11-30 00:00:00 UTC,57.1428571428571,0.00834034133261041,0.00959787313405925,0.0202692543590808,0.00746105966304588,0.110943906360538,0.0586995237090799,0.00348462202920033
2022-12-01 00:00:00 UTC,57.1428571428571,0.0073207358527255,0.00795347755250979,0.0178485652793203,0.00650214637132824,0.122530355167411,0.0547819332801356,0.00225783302686123
2022-12-02 00:00:00 UTC,57.1428571428571,0.00690317942864299,0.0091919030748369,0.0172756975310878,0.00630584243857295,0.101932774607153,0.0446255418676607,0.00158076962224518
2022-12-03 00:00:00 UTC,57.1428571428571,0.00647597260435119,0.00951253556745314,0.0152074913776992,0.00493305342903949,0.10716592595952,0.0395003809554437,0.0017814047843787
2022-12-04 00:00:00 UTC,57.1428571428571,0.00651979654349822,0.00735324690892087,0.0152715414586909,0.00606139127805775,0.0931741804699484,0.0242479083098942,0.00987752602807287
